"","pa","bclim12","bclim14","bclim15","bclim18","bclim19","bclim3","bclim6","bclim7","bclim8","bclim9"
"1",1,253,6,34.6729545593262,49,79,41.3481140136719,-2.44000005722046,39.2399978637695,6.75333309173584,18.8386669158936
"2",1,309,1,80.4962387084961,7,145,47.5469741821289,0.96399998664856,36.4720001220703,10.0673332214355,25.9839992523193
"3",1,184,4,38.3088798522949,40,59,39.8431587219238,0.156000003218651,40.3800010681152,9.66133308410645,22.423999786377
"4",1,161,1,80.2653121948242,7,83,42.6112174987793,-0.332000017166138,36.984001159668,9.50600051879883,24.1886672973633
"5",1,225,2,77.3066329956055,18,111,43.2315483093262,0.444000005722046,33.2080001831055,8.09000015258789,21.4333324432373
"6",1,98,1,60.0825881958008,10,44,47.2638397216797,-0.839999973773956,37.9119987487793,8.03866672515869,23.1479988098145
"7",1,292,2,80.5870361328125,19,143,43.752326965332,-0.0160000007599592,32.2519989013672,6.85733366012573,19.5886669158936
"8",1,371,4,75.7687454223633,30,183,43.404613494873,-2.51200008392334,32.5480003356934,3.53866672515869,17.6386661529541
"9",1,475,3,78.1925506591797,42,231,49.4759330749512,0.671999990940094,33.5200004577637,8.8973331451416,20.3273334503174
"10",1,241,3,76.170654296875,16,122,44.2153129577637,-0.864000022411346,35.8359985351562,7.65533304214478,21.931999206543
"11",1,197,3,49.6611251831055,54,63,39.4227752685547,3.43600010871887,34.1520004272461,10.6719999313354,21.6773338317871
"12",1,124,1,49.1033134460449,28,41,38.7785797119141,5.0959997177124,37.6720008850098,14.1006669998169,26.3133335113525
"13",1,776,3,80.1071929931641,35,385,46.916374206543,-3.33200001716614,34.0400009155273,4.17733335494995,17.5986671447754
"14",1,365,2,94.6522979736328,13,206,41.7057914733887,1.06800007820129,31.523998260498,8.0533332824707,23.8486671447754
"15",1,234,2,78.1457290649414,18,116,43.6439666748047,0.472000002861023,33.007999420166,8.04133319854736,21.3920001983643
"16",1,159,4,37.9826507568359,34,51,40.0237731933594,0.492000013589859,40.6599998474121,10.4126663208008,23.3313331604004
"17",1,203,2,78.6257934570312,16,102,43.1817321777344,0.388000011444092,34.6079978942871,8.82733345031738,22.738000869751
"18",1,129,3,40.9162940979004,30,47,43.1619873046875,-2.03200006484985,40.1920013427734,8.77000045776367,20.406665802002
"19",1,146,1,66.3561630249023,11,69,47.5603370666504,-0.583999991416931,36.9039993286133,9.36666679382324,22.6086673736572
"20",1,321,3,78.1261520385742,16,160,45.0668869018555,-0.980000019073486,33.9879989624023,6.6506667137146,20.25
"21",1,389,2,61.9420280456543,45,173,47.5756530761719,-0.783999979496002,35.3360023498535,7.4433331489563,21.1259994506836
"22",1,284,11,51.2315940856934,46,125,46.5552215576172,-8.4040002822876,34.8160018920898,-0.967333495616913,12.8146667480469
"23",1,161,4,37.3488655090332,43,50,39.9486198425293,-1.00800001621246,37.3680000305176,7.72733306884766,19.1606674194336
"24",1,162,4,44.2572822570801,44,58,43.1388702392578,-4.00799989700317,40.007999420166,4.41200017929077,17.4773330688477
"25",1,353,2,101.637420654297,144,25,59.257926940918,5.16400003433228,30.6079998016357,25.2746658325195,19.9053325653076
"26",1,200,1,85.2423248291016,6,105,44.9338722229004,-0.216000005602837,35.6879997253418,9.32933330535889,22.6626663208008
"27",1,203,2,78.6257934570312,16,102,43.1817321777344,0.388000011444092,34.6079978942871,8.82733345031738,22.738000869751
"28",1,292,2,80.5870361328125,19,143,43.752326965332,-0.0160000007599592,32.2519989013672,6.85733366012573,19.5886669158936
"29",1,284,1,72.1355133056641,35,140,49.2362823486328,2.71199989318848,33.5640029907227,10.8839998245239,22.7053337097168
"30",1,334,7,49.9061279296875,61,137,42.2591438293457,-5.86399984359741,33.6440010070801,1.00466680526733,14.9506664276123
"31",1,144,1,64.7750244140625,11,67,47.3715019226074,-0.620000004768372,36.992000579834,9.3013334274292,22.6793346405029
"32",1,297,3,78.8632965087891,15,150,45.5547790527344,-1.04799997806549,34.2239990234375,6.85133361816406,20.4739990234375
"33",1,143,3,50.4397468566895,38,57,43.5677909851074,-3.2720000743866,40.8880004882812,5.69933319091797,19.0879993438721
"34",1,371,4,75.7687454223633,30,183,43.404613494873,-2.51200008392334,32.5480003356934,3.53866672515869,17.6386661529541
"35",1,144,3,43.6377067565918,38,47,39.1253204345703,-0.068000003695488,38.5359992980957,9.21199989318848,21.3020000457764
