"","bclim12","bclim14","bclim15","bclim18","bclim19","bclim3","bclim6","bclim7","bclim8","bclim9"
"1",338,2,91.9846725463867,13,183,44.0722923278809,0.112000003457069,35.3199996948242,9.02200031280518,25.6066665649414
"2",241,3,76.170654296875,16,122,44.2153129577637,-0.864000022411346,35.8359985351562,7.65533304214478,21.931999206543
"3",407,1,87.1549911499023,13,206,54.0030212402344,0.639999985694885,33.1000022888184,9.18733310699463,20.9993343353271
"4",305,2,76.7769622802734,29,153,49.3510398864746,2.99600005149841,34.568000793457,11.6213331222534,23.8299999237061
"5",214,1,85.7913436889648,7,113,44.3724403381348,0.144000008702278,35.492000579834,9.4640007019043,23.042667388916
"6",391,1,87.3542709350586,12,196,54.734016418457,0.888000011444092,32.7840003967285,9.45600032806396,21.025333404541
"7",242,1,81.5766830444336,12,122,49.2382507324219,1.46399998664856,34.1319999694824,10.0153331756592,24.2566661834717
"8",364,1,85.2283935546875,14,187,51.4927291870117,0.236000001430511,36.4879989624023,9.13466644287109,23.7719993591309
"9",274,2,80.4662780761719,17,134,44.2758979797363,0.0600000023841858,32.8959999084473,7.22533321380615,23.0973339080811
"10",214,1,85.7913436889648,7,113,44.3724403381348,0.144000008702278,35.492000579834,9.4640007019043,23.042667388916
"11",371,2,60.8783302307129,65,164,48.4185371398926,-0.248000010848045,34.8199996948242,7.84333324432373,21.2233333587646
"12",155,1,78.6823120117188,7,79,42.5091705322266,0.0360000021755695,36.7159996032715,9.63599967956543,24.3253326416016
"13",252,2,80.5223388671875,13,130,45.4591522216797,-0.439999997615814,36.1679992675781,8.37466621398926,22.576000213623
"14",296,3,47.1744117736816,80,108,39.7673263549805,0.800000011920929,32.8360023498535,7.51733350753784,17.2946662902832
"15",171,1,77.8959121704102,9,86,42.4501914978027,0.216000005602837,35.7360000610352,9.32800006866455,23.708667755127
"16",207,5,38.4716300964355,55,64,40.6746482849121,-2.30399990081787,36.0880012512207,5.80800008773804,16.4506664276123
"17",150,3,47.8493690490723,40,56,43.4597778320312,-3.56800007820129,40.544002532959,5.18466663360596,18.441333770752
"18",354,1,82.7975845336914,23,183,47.1887664794922,-1.14800000190735,35.5359992980957,7.72733306884766,23.5286674499512
"19",333,2,75.2334976196289,34,164,49.9590606689453,1.78400003910065,35.0120010375977,10.6366662979126,22.9246673583984
"20",364,3,84.7708587646484,13,192,45.0590400695801,-0.159999996423721,34.439998626709,8.10999965667725,23.957332611084
"21",225,2,77.3066329956055,18,111,43.2315483093262,0.444000005722046,33.2080001831055,8.09000015258789,21.4333324432373
"22",297,1,60.2795295715332,34,133,48.3495063781738,0.0799999982118607,36.2719993591309,8.03866672515869,22.6919994354248
"23",407,1,87.1549911499023,13,206,54.0030212402344,0.639999985694885,33.1000022888184,9.18733310699463,20.9993343353271
"24",285,6,41.8519287109375,84,93,39.9730758666992,-2.2720000743866,33.6759986877441,4.67733335494995,14.3606672286987
"25",186,1,48.5192718505859,39,72,44.6162948608398,1.60399997234344,36.6599998474121,9.2160005569458,20.9006671905518
"26",369,2,80.7935562133789,19,179,47.1163749694824,0.156000003218651,32.4360008239746,8.10200023651123,22.4839992523193
"27",289,5,77.4071502685547,146,28,61.7755966186523,5.53200006484985,28.2759990692139,24.1426658630371,18.8213329315186
"28",198,1,78.6339797973633,5,88,44.902400970459,2.27600002288818,35.5200004577637,11.5446662902832,27.466667175293
"29",186,7,30.5226211547852,50,37,35.7474327087402,-7.16799974441528,41.947998046875,19.1273326873779,16.9393329620361
"30",225,2,77.3066329956055,18,111,43.2315483093262,0.444000005722046,33.2080001831055,8.09000015258789,21.4333324432373
"31",331,3,79.6458435058594,23,167,44.7456588745117,-1.55999994277954,33.2360000610352,4.90933322906494,19.050666809082
"32",299,3,78.9812393188477,15,151,44.9354057312012,-1.31200003623962,34.060001373291,5.4453330039978,20.1620006561279
"33",233,1,75.5464019775391,13,114,47.4077110290527,-0.560000002384186,36.3000030517578,8.86866664886475,21.9826679229736
"34",308,2,56.0412788391113,46,132,47.290153503418,0.740000009536743,34.6759986877441,8.00466632843018,18.0540008544922
"35",269,4,45.7941017150879,84,87,40.1745872497559,-0.19200000166893,33.7560005187988,6.77266693115234,16.7773342132568
"36",292,2,80.5870361328125,19,143,43.752326965332,-0.0160000007599592,32.2519989013672,6.85733366012573,19.5886669158936
"37",228,2,65.9545288085938,19,107,46.6501121520996,-0.607999980449677,37.8520011901855,8.99266719818115,23.3253326416016
"38",217,2,65.0080642700195,19,102,45.9126167297363,-0.568000018596649,37.628002166748,8.85200023651123,23.3326663970947
"39",192,2,48.8946723937988,65,63,39.606861114502,2.51999998092651,34,9.86400032043457,20.3840007781982
"40",89,1,55.1393127441406,10,39,45.8590812683105,-1.03200006484985,38.8400001525879,8.08266639709473,23.9839992523193
"41",104,1,72.2568817138672,8,52,42.9097671508789,-0.348000019788742,38.9080009460449,8.30200004577637,25.5839996337891
"42",482,1,90.9779663085938,13,256,51.0968360900879,0.0240000002086163,30.511999130249,7.31133317947388,19.9426670074463
"43",234,2,48.3126106262207,73,80,40.3094825744629,1.77199995517731,33.992000579834,9.03933334350586,19.3286666870117
"44",535,2,88.1764297485352,15,272,56.2184638977051,1.12000000476837,31.443998336792,9.13866710662842,20.1380004882812
"45",297,1,60.2795295715332,34,133,48.3495063781738,0.0799999982118607,36.2719993591309,8.03866672515869,22.6919994354248
"46",321,7,49.221607208252,58,129,41.2119941711426,-5.22000026702881,33.5040016174316,1.55066657066345,15.6400003433228
"47",250,1,57.0001411437988,33,110,48.3762893676758,-0.108000002801418,37.7120018005371,8.31933307647705,23.6059989929199
"48",263,1,72.409553527832,31,128,51.3997688293457,3.36400008201599,33.6960029602051,11.7319993972778,22.974666595459
"49",269,3,47.7784881591797,81,92,38.6628036499023,1.21200001239777,33.4679985046387,8.12333297729492,18.3893337249756
