"","bclim12","bclim14","bclim15","bclim18","bclim19","bclim3","bclim6","bclim7","bclim8","bclim9"
"43",445,14,51.8975868225098,134,50,42.9551620483398,-0.804000020027161,35.0279998779297,23.1433334350586,8.16533374786377
"44",354,4,98.5740356445312,200,26,51.6004600524902,0.675999999046326,33.5320014953613,23.5739994049072,15.4106664657593
"45",291,15,26.8142242431641,62,74,41.4827919006348,-9.11600017547607,37.8880004882812,9.44999980926514,16.9606666564941
"46",807,40,33.7553291320801,206,135,38.4832725524902,-0.292000025510788,35.0359992980957,21.8013343811035,8.84200000762939
"47",575,1,86.3212814331055,14,293,46.4255332946777,2.13199996948242,31.3520011901855,9.90666675567627,23.4820003509521
"48",623,20,37.3499183654785,92,215,40.6162223815918,-7.47599983215332,33.2239990234375,-1.82599997520447,14.4180002212524
"49",735,34,35.2491416931152,215,111,42.1945648193359,1.22800004482269,32.1399993896484,23.2813339233398,9.46266651153564
"50",204,2,51.4110641479492,53,64,44.6710205078125,3.53600001335144,38.2999992370605,31.6706657409668,25.3426666259766
"51",489,28,19.0832633972168,131,135,41.3064956665039,-21.7320003509521,45.9039993286133,12.6013336181641,5.18066692352295
"52",281,5,60.3050804138184,114,30,46.7280235290527,1.93999993801117,33.7919998168945,27.449333190918,12.9359998703003
"53",443,17,47.278434753418,152,62,34.9532585144043,-12.5080003738403,35.515998840332,11.0553331375122,-5.88199996948242
"54",883,2,117.528709411621,494,76,63.1252593994141,11.9879999160767,22.2040023803711,27.6293334960938,23.4906673431396
"55",319,20,17.3838367462158,78,64,40.8459663391113,-9.61600017547607,37.2039985656738,4.69866704940796,-1.41466677188873
"56",734,14,55.8401870727539,304,51,27.0625171661377,-14.9359998703003,43.6360015869141,21.4353332519531,-7.70666646957397
"57",972,29,43.8993606567383,321,103,29.6678428649902,-7.93599987030029,39.7399978637695,22.3013324737549,-0.855999946594238
"58",676,44,12.6942358016968,183,149,42.4653854370117,-14.6239995956421,38.5200004577637,5.96399974822998,-7.18733358383179
"59",296,15,22.8592891693115,74,59,34.491340637207,-8.56400012969971,40.0400009155273,16.4393329620361,-1.87066674232483
"60",243,6,69.4561614990234,105,34,48.7631301879883,-6.09200000762939,41.2599983215332,23.558666229248,10.0086669921875
"61",282,0,125.219131469727,199,47,57.6553192138672,7.78000020980835,28.9079990386963,28.0066661834717,23.4086666107178
"62",151,4,37.9900054931641,44,29,34.6252021789551,-1.22399997711182,36.8199996948242,21.7040004730225,19.5299987792969
"63",591,10,46.1988143920898,221,163,47.9977684020996,-5.40000009536743,35.2439994812012,19.7986679077148,12.3693332672119
"64",1299,69,27.7993717193604,386,271,35.9489669799805,6.93200016021729,25.9720039367676,27.8873348236084,17.0986671447754
"65",285,16,21.3189830780029,59,69,42.0794868469238,-10.4799995422363,41.1800003051758,6.92266654968262,18.2593326568604
"66",374,15,31.1680545806885,57,117,42.684871673584,-8.32800006866455,34.2760009765625,-1.57933342456818,14.0153331756592
"67",355,8,75.603401184082,154,35,47.1722946166992,-1.567999958992,36.2719993591309,24.984001159668,12.5819997787476
"68",528,1,96.9200210571289,14,297,67.1717147827148,4.77500009536743,17.3250007629395,12.0208330154419,16.0750007629395
"69",252,3,91.5268249511719,116,33,47.2629470825195,-1.72800004482269,37.923999786377,25.8033332824707,17.2173328399658
"70",701,8,96.1015243530273,399,83,62.0322761535645,-1.24000000953674,27.2239990234375,16.6106662750244,13.0120000839233
"71",273,9,26.6977062225342,42,77,42.8500175476074,-6.89599990844727,36.7600021362305,0.360000014305115,18.0219993591309
"72",428,18,46.0685806274414,114,59,36.6883239746094,-11.5719995498657,39.7119979858398,9.92933368682861,-4.32133340835571
"73",308,6,60.8112754821777,114,37,66.989875793457,1.6360000371933,28.980001449585,19.4393329620361,15.6099996566772
"74",290,10,39.7290802001953,49,103,41.5843238830566,-9.16800022125244,40.076000213623,-1.33200001716614,17.9773330688477
"75",429,11,64.6756286621094,172,33,37.326229095459,-11.1800003051758,43.1599998474121,19.2800006866455,-2.27066659927368
"76",158,0,105.6396484375,101,35,51.0728492736816,9.60400009155273,27.1240005493164,29.4700012207031,23.6986656188965
"77",245,7,47.1764793395996,79,51,44.7204132080078,-7.4040002822876,40.5839996337891,21.5453338623047,14.9093332290649
"78",263,12,27.438175201416,69,41,36.6935844421387,-13.7399997711182,45.3239974975586,12.1533336639404,-5.52600002288818
"79",590,14,54.5097236633301,195,52,37.7891845703125,-4.71999979019165,39.9400024414062,20.0020008087158,4.11133337020874
"80",854,13,88.2630310058594,459,144,56.8136520385742,-4.08400011062622,31.431999206543,17.5520000457764,11.2493333816528
"81",475,15,57.1580047607422,177,47,42.2325019836426,-2.34800004959106,37.1720008850098,25.7353343963623,6.58866691589355
"82",464,14,60.7456359863281,158,55,45.2143783569336,6.43200016021729,29.9160003662109,28.5673332214355,15.8133335113525
"83",413,10,61.170711517334,192,34,42.5794792175293,-4.82000017166138,38.4160003662109,24.7059993743896,4.23866653442383
"84",284,11,24.830924987793,69,69,34.9541015625,-7.7039999961853,39.7959976196289,17.3360004425049,14.7580003738403
"85",534,3,102.365776062012,203,55,63.4501152038574,5.01600027084351,28.943998336792,23.1846675872803,18.6173324584961
"86",348,12,56.7468223571777,122,39,35.8090133666992,-13.4879999160767,44.1360015869141,12.0493335723877,-4.96999979019165
"87",395,10,67.5325088500977,157,32,37.6319427490234,-12.423999786377,43.5800018310547,17.4713325500488,-3.82266664505005
"88",791,20,51.616024017334,321,74,26.2369976043701,-17.9039993286133,45.2439994812012,19.7600002288818,-9.90066623687744
"89",1147,48,29.9770240783691,271,176,34.3974609375,-3.22399997711182,35.8039970397949,19.3353328704834,4.15000009536743
"90",628,7,103.791748046875,370,95,52.9431838989258,3.60800004005432,35.1319999694824,27.6206665039062,20.5799999237061
"91",566,17,52.1541595458984,204,60,34.932746887207,-11.8759994506836,42.3279991149902,13.1926670074463,-3.78333330154419
"92",502,13,59.3201065063477,213,40,37.0220108032227,-9.23200035095215,42.8880004882812,21.3926658630371,-0.381333261728287
"93",1279,9,92.9101715087891,703,192,66.2410354614258,1.74399995803833,22.8680000305176,16.7313327789307,13.5799999237061
"94",440,9,61.8318672180176,185,29,38.4839286804199,-7.41200017929077,41.568000793457,22.2893333435059,1.51666676998138
