bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,elevation
15.72249985,23.99833298,7.815000057,557.25,126.0500031,2,88.99428558,324.1499939,14,14,288.7600098,14.70633316,44.75746155,690.6022339,32.31500244,-0.75,33.25,8.066166878,24.14999962,439.8525391
10.41187477,20.32999992,1.922833443,216.6999969,30.89999962,7,44.44955444,87.69999695,27,30,87.69999695,16.76208305,45.008564,740.2159424,29.13899994,-7.960999966,36.97999954,2.744166613,20.02583313,1358.156738
10.84875011,20.57349968,1.948333263,202.8399963,27,7,43.40662003,79.94999695,27,28,75.34999847,16.78141594,44.34646988,759.4229736,30.03000069,-7.699999809,37.5,2.880833149,20.01950073,1349.079468
10.21770859,20.15833282,1.62316668,188.75,31,8,40.80644608,97.18000031,30.60000038,33.65000153,97.34999847,14.86250019,40.00258636,772.4181519,28.59000015,-7.425000191,36.17000198,1.807833314,19.76416588,1391.345337
10.34208298,20.48583412,1.374166727,186.7400055,27.11000061,8,37.40237427,87.65000153,32.04999924,33.54999924,87.65000153,13.90499973,39.45463943,787.4100952,28.89500046,-6.813000202,35.59000015,1.374166727,20.39166641,1635.558716
14.40458298,22.97083282,7.4375,654.0599976,144.3099976,2,90.09496307,384.4299927,12,17.89999962,366.7600098,14.51933384,45.97953415,646.7186279,30.58499908,-1.414999962,32,7.51916647,22.50749969,427.1742859
14.95833302,23.66933441,7.295000076,537.25,112.0100021,1,90.37418365,289.9299927,12,12,291.6400146,16.20849991,46.84926987,653.3859863,32.42000198,-1.480000019,34.45000076,7.295000076,23.29750061,351.0875854
14.81395817,23.37083244,7.090499878,608.8499756,132,1,89.19031525,354.8500061,12,12,329.9500122,15.74791622,46.27541733,688.255188,31.19000053,-0.560000002,32.27000046,7.912499905,23.57500076,532.5864868
9.391041756,19.35333252,0.919166684,281.9500122,46.79999924,8,51.57648468,137.1000061,34,34,118.0999985,14.04208374,40.2660408,760.7747803,27.77000046,-7.473999977,35.20000076,0.828000009,19.35083389,1706.318237
14.10599995,22.24483299,6.808666706,691.289978,146.7200012,2,90.96815491,398.8999939,14,20.29999924,384.8699951,14.868083,46.56333923,636.0618896,30.20800018,-1.799999952,31.89999962,7.337166786,22.09000015,523.6800537
14.62408352,23.13750076,7.200000286,677.7999878,119.8099976,1,91.11388397,372.9500122,11,11,385.1499939,15.31458282,46.31722641,668.1796875,30.14500046,-1.529999971,33,7.58166647,22.14666748,533.1470947
15.62704182,23.91583252,8.378333092,566.6500244,116.5999985,1,90.32023621,306.3500061,10,10,303.4200134,15.03708363,45.33977509,673.4993896,31.88800049,0.25,31.66499901,8.495833397,23.9058342,357.684967
7.861666679,15.41083336,1.922833323,621.2000122,113.6100006,9,72.46807861,311.0700073,40,40,299.6700134,8.425000191,37.04889297,563.5609131,19.48999977,-3.599999905,23.35000038,2.088333368,15.08850002,1898
7.865624905,15.57216644,1.794833302,585.5,103.8000031,9,71.49715424,271.3599854,40,40,273.6000061,9.020667076,38.82844162,586.7615356,20.74300003,-4.369999886,24.13400078,1.926499963,15.39216709,1898
9.729166985,19.74666595,0.892499983,321.75,50.65000153,8.5,54.18586349,139.8999939,34.84999847,34.84999847,139.8999939,15.34500027,42.07528305,777.0409546,28.71000099,-7.755000114,36.46500015,0.892499983,19.74666595,1785.333374
9.861042023,19.85966682,1,256.25,38.75,8,52.43826675,141.1000061,32.54999924,35.00999832,141.1000061,15.97583294,42.75910568,780.8363037,28.8599987,-7.930000305,37.22499847,1.129166603,19.80166626,1818.899902
14.24804115,22.30866623,7.16566658,681.3599854,143.0599976,1,91.66536713,387.7799988,10,17.09000015,373.5599976,15.39958286,48.23308182,627.5003052,29.61000061,-1.949999928,31.51099968,7.384999752,21.79916573,401.9598694
14.14187527,22.17033386,7.166500092,701.460022,147.3099976,1.269999981,90.92835236,386.1900024,11.39999962,18.65999985,385.730011,15.0599165,47.94538498,618.444458,29.84199905,-2,31.41500092,7.326666832,22.08250046,462.9291382
13.95941639,22.07349968,6.75816679,688.1799927,134.3999939,1,90.96622467,394.6499939,11,17,384.0100098,14.72116661,47.15703583,633.9412842,29.90999985,-1.700000048,31.69000053,7.036666393,21.83200073,481.5697327
14.04174995,23.36883354,6.752166748,619.25,124.4499969,1,90.3385849,352.3500061,11,14,333.0799866,14.91991711,46.14351273,652.5338135,31.70700073,-1.580000043,32.04999924,7.29883337,22.66766739,464.8558655
15.03116703,23.57333374,7.623333454,642.2199707,130.5,1,90.68811035,335.5499878,10.69999981,10.80000019,342.75,15.18041706,45.99912643,677.4108887,31.75499916,-1.340000033,32.99300003,7.447500229,23.41533279,445.2202759
7.976666451,15.35033321,2.096666574,632.789978,112.8499985,9,73.97255707,312.7999878,40,41,300.7999878,8.449166298,36.45569992,560.0252075,19.63000107,-3.5,23.13000107,2.226666689,15.00783348,1898
14.36620808,22.22883415,7.241666794,651.8099976,140.6000061,1,91.83127594,369.6000061,10,19,381.5,15.40791702,47.6958046,634.6467896,30.25,-1.799999952,32.24200058,7.021500111,22.00333405,471.1421814
14.32583332,22.31916618,7.044000149,698.0499878,137.1000061,1,90.92868805,383.5400085,10,17,380.769989,14.96983337,47.0199585,641.8899536,30.48500061,-1.700000048,32.18500137,7.100166798,22.24316597,450.9556274
14.55162525,22.59399986,7.136166573,705.9099731,137.2200012,1,90.84476471,343.9500122,11.89999962,17.23999977,379.7999878,14.97816658,46.78650665,638.8815918,30.18000031,-1.399999976,31.77299881,7.204500198,22.17816734,474.6754761
14.95833302,23.10250092,7.466666698,688.7999878,137.4900055,1,90.50839996,364.9500122,11,17.95000076,379.75,14.65583324,46.20775604,661.0205688,31.06999969,-0.970000029,32.02000046,7.466666698,23.20583344,509.1237793
15.25920868,23.64616585,7.776500225,673.2299805,139.6100006,1,91.03470612,364.1199951,10.89999962,16.45000076,364.1199951,13.96541691,44.4488945,667.3397217,31.11899948,-0.300000012,31.41900063,7.776500225,23.61133385,438.3838806
8.009583473,15.44333363,2.148333311,632.25,118.9499969,9,74.0267334,316.9500122,40,41,299.75,8.632499695,37.13291931,563.1521606,19.90499878,-3.355000019,23.26000023,2.220833302,15.125,1898
13.93141651,21.78416634,6.833833218,697.4000244,144.5,2,91.42917633,378.5899963,11,19,385.7000122,14.62625027,48.03532028,623.4872437,30.22000122,-1.769999981,32.49900055,6.858333111,21.88016701,425.2504578
14.16429138,22.32716751,6.898166656,694.460022,143.1600037,2,91.93110657,390.6199951,11,19,390.6199951,15.09891701,47.43046951,636.9346313,30.43700027,-1.700000048,32.13800049,6.898166656,22.4608326,456.3950195
14.55145836,22.40500069,7.079499722,703.539978,147.7799988,1,91.68096161,375.3500061,9.699999809,18,367.2999878,14.92266655,46.79714203,640.3951416,30.33499908,-1.629999995,31.97500038,7.135833263,22.41583252,376.6710205
14.56654167,22.7234993,7.519999981,695,141.6499939,1,91.17258453,380.8200073,10.69999981,17,378.1400146,15.0753336,46.81625366,649.1229858,31.09799957,-1.700000048,32.4659996,7.224500179,22.66833305,466.5484009
14.07649994,21.83200073,6.99333334,722.8900146,148.5099945,2,90.82471466,392.3299866,11,19,392.3299866,15.50216675,48.48536682,615.7648315,30.01000023,-1.96299994,31.97299957,6.99333334,21.74100113,421.5093384
15.91295815,24.36133385,8.196333885,711.2399902,133.3000031,3,86.08298492,368.8399963,11.81000042,19.89999962,354.6400146,15.78191662,47.04262161,665.1646729,31.39999962,-2.099999905,33.52999878,9.366167068,24.02649879,344.2016602
15.63329124,24.07433319,7.911666393,756.1500244,142.3000031,3,85.99720764,379.8299866,12.64999962,20.86000061,362.5599976,15.66125011,48.0451889,669.5266113,31.59000015,-2.204999924,33.32500076,9.053333282,23.81500053,363.4473877
15.37166691,23.97750092,7.471333504,729.5,139.3000031,3,85.62397766,389.75,13,21,372.3900146,17.91250038,49.30595779,681.4550171,32.40999985,-3.769999981,36.2100029,8.799166679,23.45416641,353.1936035
15.3366251,24.01650047,7.426166534,750.4899902,141.7700043,3,85.58308411,391.1300049,13,21,372.2099915,17.73008347,49.2502327,682.793396,32.29999924,-3.700000048,36,8.690500259,23.72599983,389.5054626
15.03737545,23.40833282,7.387000084,788.6199951,140.4199982,2,84.10825348,396.5899963,13.90999985,21.39999962,374.4500122,15.23375034,46.09996033,663.3568726,31.10499954,-1.939999938,33.00899887,8.486000061,23.20000076,518.1083984
12.36958313,24.96999931,0.023333315,177.75,22.64999962,6.650000095,30.57437515,62.90000153,31.95000076,44.90000153,35.95000076,14.41083336,33.80134201,1007.38385,32.93000031,-9.690000534,42.61999893,19.32333374,17.29083252,1416.794678
12.71020794,25.05666733,0.299500048,173.1499939,21.89999962,6.630000114,29.06738091,62.54999924,32.5,42.70000076,37.79999924,14.07874966,33.46287155,1009.065918,32.91699982,-9.276000023,43.02299881,19.53683281,17.48749924,1493.706299
12.68974972,25.12750053,0.069166712,180.5,22.45000076,7,29.31663132,61.77000046,32,44.06999969,36,14.60666656,34.16951752,1008.119324,33.04500198,-9.854999542,42.90000153,19.64533234,17.45499992,1397.556519
15.97687531,24.4841671,8.159999847,716.5499878,136.8000031,3,85.92954254,372.7999878,12,20.70000076,346.1900024,16.0704174,47.06968689,679.2597046,32.02000046,-2.129999876,34.20999908,9.199999809,24.19166756,369.2380981
15.69270802,24.35833359,7.849999905,712.3499756,130,3,85.75878906,368.1400146,11,19,351.4599915,16.31125069,48.64986038,675.1607666,31.79999924,-2.900000095,34.77500153,9.03116703,23.94499969,347.7383423
15.74229145,23.8283329,7.854166985,766.5800171,147.5,3,85.40396118,387.6499939,13,21,367.3900146,16.55291748,48.86676025,677.8435059,31.95000076,-3.700000048,34.61000061,8.638000488,23.62333298,354.8727112
15.21875,24.04083252,7.79766655,747.5,141.0399933,2,85.21277618,388.2000122,12,20,344.9299927,14.61124992,46.14144135,666.4082642,32.29999924,-3.700000048,36,8.990333557,23.5391674,485.2026672
15.31649971,23.55016708,7.630833149,788.6900024,142.2299957,2,85.55612183,366,12,20.60000038,371.1900024,14.93533325,45.62355804,663.8355103,30.89999962,-1.580000043,32.68999863,8.454166412,23.30916595,497.8999939
15.10395813,23.42849922,7.510833263,797.4699707,145.0899963,2,84.79005432,401.6600037,12.10000038,20.10000038,391.25,15.10241699,45.97913742,661.3373413,31.14500046,-1.842999935,32.82699966,8.341333389,23.04083252,360.0926819
12.44395828,25.04833412,0.482833236,175.6999969,21.5,7,29.66946983,61.70000076,33,45,35.90000153,13.62433338,34.10893631,998.670166,33.02000046,-9.147000313,41.13999939,19.33749962,17.25699997,1515.910889
12.62629128,25.14333344,0.574833333,176.6600037,22.04999924,7,30.18865395,62.27999878,31,44.09999847,39.22999954,13.43774986,32.69789886,1008.495056,33.26499939,-8.862000465,42.29999924,19.69433403,17.31150055,1471.135864
12.72312546,25.33916664,0.456666648,177.1000061,23,7,30.03153038,63.5,31,46,40.5,14.34458351,33.91952515,992.3203125,32.86000061,-9.340000153,42.10700226,19.64333344,17.33666611,1441.752075
15.96687508,24.87583351,8.069333076,668.7000122,127.3799973,2,85.83628082,343.4299927,11,17.60000038,333.6799927,16.45249939,46.76266479,677.5708008,32.11899948,-2.589999914,34.56000137,9.199999809,24.22283363,352.5115662
15.63195801,24.29516602,7.67783308,758.5999756,134.9299927,2,85.74668121,375.3699951,11,18.29999924,363.3200073,16.22483253,47.1459198,681.2182617,31.80999947,-2.720000029,34.76499939,8.818166733,24.07583237,372.2875061
15.73795795,23.9533329,7.717000008,691.3300171,129.8500061,2,85.91547394,367.4700012,11,19,353.8599854,15.83374977,46.26836014,666.2471924,30.88999939,-1.047000051,34.15000153,8.704166412,23.52666664,460.6602478
14.84541702,24.0233326,7.171666622,741.6500244,130.3999939,2,85.5275116,366.3500061,12,19,346.25,14.70800018,44.74656677,669.5588989,31.71999931,-3.099999905,32.04999924,8.859000206,23.77750015,389.8692017
15.32287502,24.03833389,7.093333244,747.7999878,133.5500031,2,85.51824188,384.5799866,12,19,353.2999878,17.15791702,48.03247833,680.588562,32.09999847,-3.629999876,35.43000031,8.119999886,23.69783401,518.8153076
14.83362484,23.65233231,7.075333118,787.960022,142.5899963,2,85.39868927,389.980011,12.51000023,19.29999924,385.4200134,16.82891655,47.86366272,678.7255249,31.89999962,-3.236999989,35.25099945,7.992499828,23.03133392,558.453186
14.75645828,23.52750015,7.097499847,815.5,143.25,2,84.78962708,399.5,14,19.5,396.25,15.92083359,46.85834503,675.697876,31.47500038,-2.414999962,33.95000076,7.649166584,23.04416656,509.8434143
12.59041691,25.08349991,0.329166681,173.5500031,22,7,30.55776215,63.84999847,33.97000122,47.36999893,34,14.47875023,34.50744247,995.0563354,33.35499954,-9.5,42.19700241,19.39750099,17.54783249,1455.779053
12.51262474,25.01083374,0.563333333,183.8800049,22,7,29.68924332,62.75,32,47.84999847,37,14.13041687,32.70190811,994.7979126,32.84999847,-8.670000076,41,19.38983345,17.37333298,1484.839844
12.76325035,25.26250076,0.914166689,183.0200043,21.89999962,7,29.54273033,65.63999939,31,46.29999924,39.29999924,13.86916637,33.04207993,981.0928955,32.9280014,-8.454999924,40.36999893,19.78483391,17.52216721,1462.073853
12.92529202,25.11083412,0.874000072,187.5500031,23,7,29.83944893,64.34999847,32.59999847,48.25,38,14.44391632,33.37356567,988.5460205,32.72999954,-8.482999802,41.27500153,19.65983391,17.61783409,1436.154175
16.02904129,24.7385006,7.760333538,675.2000122,122.6200027,2,85.96046448,346.8999939,9.729999542,17.26000023,307.3399963,16.21466637,46.72809219,691.5529175,32.29100037,-2.370000124,34.70000076,8.828332901,24.16049957,423.3598022
16.06458282,24.60966682,7.977499962,628.4000244,118,2,85.62097931,348.1600037,10.89999962,16.54999924,325.9400024,15.7970829,46.35004044,701.4753418,31.98999977,-2.410000086,34.27999878,9.022000313,24.63916588,354.7808533
15.93229198,25.0739994,7.607500076,658.8800049,119.3600006,2,85.61760712,353.4700012,11,18,329,16.57408333,46.53704453,693.2108765,32.90000153,-2.400000095,35.30000305,8.966666222,24.29833412,372.2230225
15.73583317,24.25,7.400000095,677.6099854,117.3899994,2,85.33673096,329.5499878,12,19,316,15.75325012,47.44243622,682.887146,31.93000031,-3.390000105,35.09999847,8.84916687,23.54999924,434.9814758
15.30424976,23.77633286,7.25816679,711.9899902,131.4400024,2,84.87077332,373.75,12,18,363.3999939,16.19883347,46.77120209,681.4762573,31.85000038,-2.599999905,34.98199844,8.417833328,23.15416718,646.1450195
15.13462543,23.90716743,7.031666756,721.6300049,141.7299957,2,84.24404907,396.1000061,14.19999981,18.54000092,349.1199951,15.54183388,46.41242599,679.1522827,31.73900032,-2.200000048,33.91799927,8.321666718,23.27666664,398.460022
14.48545837,23.14550018,6.623666763,786.0599976,135.5,2.299999952,84.3818512,398.6700134,14.80000019,17.89999962,375.6900024,15.64166641,47.47851944,674.8729248,31.13700104,-2.635999918,33.89500046,7.211999893,22.99399948,659.5847778
12.78054142,25.03000069,0.823333383,171.9199982,22,7,30.30009651,64,32,45.47999954,36,14.24541664,33.93447876,992.8590088,32.70000076,-8.793000221,41.80500031,19.43083382,17.46416664,1455.822144
12.7545414,25.13233376,0.841666639,181.6499939,22.04999924,7,28.94649887,63.20000076,32.59999847,46.20000076,37.09999847,13.87116623,32.96857071,992.0340576,32.50099945,-8.539999962,40.62799835,19.62483406,17.51250076,1458.281982
12.73204136,25.11216736,0.854166627,187.4499969,23.89999962,6.900000095,29.15600967,65.40000153,32,47.63000107,42.40000153,14.09375,33.57474136,985.1242065,32.62900162,-8.447999954,41.30900192,19.57466698,17.42316628,1495.304199
15.58125019,22.71500015,8.906666756,525.3400269,107,1,88.74291229,270.8800049,7,12,256.8999939,15.21383286,48.64716721,567.4899292,29.4470005,-0.629999995,29.43600082,9.763333321,22.41500092,333.5223999
15.80995846,23.05699921,8.959500313,483.019989,98.05999756,1,88.60282135,255.4600067,7,12,255.4600067,15.31858349,49.76638794,578.892395,29.99099922,-0.790000021,30.78100014,8.959500313,22.48150063,327.5
16.03745842,24.93283272,7.908333302,632.1300049,111.6999969,2,85.01159668,320.1600037,9.899999619,16,307.1700134,16.70941734,47.10865402,701.9068604,32.87000275,-2.599999905,35.47000122,9.085000038,24.63549995,340.9285278
16.03933334,24.92866707,7.885333061,640,113.5800018,2,84.91551208,322.4299927,10,16,310.3999939,16.49891663,46.46590042,703.0730591,32.90000153,-2.5,35.13000107,9.098333359,24.62983322,359.5231018
15.54783344,24.02833366,8.039166451,679.5999756,121.7900009,2,84.71530151,376.6700134,10,17.81999969,378.4500122,14.48999977,44.1195488,697.2045898,31.11300087,-1.299999952,32.45500183,8.271166801,24.33083344,335.3505859
15.05166626,23.62733269,7.419166565,769.5800171,143.1000061,2,85.1434021,370.6600037,11.19999981,17.10000038,387.5100098,14.84583282,45.34122849,669.9721069,31.31999969,-1.899999976,33.06000137,8.651499748,23.45416641,563.9386597
14.81474972,23.58349991,7.167500019,813.2000122,143.25,2,85.69802094,398.8999939,12.89999962,17,386.7399902,15.03933334,45.32826233,674.0859985,31.13500023,-1.88499999,33.00500107,7.269999981,23.11499977,589.7409668
10.35487461,21.16916656,1.514999986,183.9700012,28.61000061,8.729999542,47.1749649,86.83999634,33.13000107,33.70000076,92.30000305,17.03174973,44.23457718,786.7439575,31.55599976,-7.859000206,38.50299835,1.929333329,17.09749985,1643.954956
10.8067503,22.07283401,2.296666622,182.6799927,27.70000076,8,44.45048904,77.80000305,32.79999924,36.70000076,77.80000305,16.74625015,44.55234909,785.7623901,29.375,-7.860000134,37.79999924,1.808333278,14.82250023,1800.345093
12.72370815,25.11633301,0.856666803,181.5599976,22.98999977,6.989999771,31.54332542,64.98000336,31.79999924,49.97000122,34.88999939,14.48591709,34.63618469,982.0812378,33.14199829,-8.680999756,41.82299805,19.54899979,17.35700035,1527.515991
12.73750019,25.13066673,0.774999976,181.25,22.25,7,30.74987411,65.31999969,32,48.41999817,37.29999924,12.57824993,32.04126358,984.5002441,32.22600174,-7.648999691,39.99499893,19.42183304,17.25016594,1450.987427
12.59387493,25.34083366,0.72966677,187.75,24,7,28.84710884,67.58000183,32,47.29999924,42.5,14.54458332,33.82614517,993.4710693,33.10499954,-8.840000153,42.21299744,19.44750023,17.42833328,1453.903931
15.55054188,23.15916634,8.464333534,502.3399963,105.4499969,2,88.92879486,256.75,7,17,321.0499878,15.85983372,48.42752457,583.0043335,30.34999847,-1.639999986,31.82999992,8.464333534,22.35216713,388.4516602
15.7767086,23.95050049,8.583333015,577,111.5800018,2,88.62111664,253.1000061,7,12.60000038,249.6699982,14.81375027,47.56595612,622.0285645,31.19000053,-0.609000027,31.75,8.583333015,23.65333366,408.473877
16.38358307,24.62833405,8.095832825,618.5999756,103.0199966,1.070000052,85.02755737,304.9500122,9.050000191,14,297.3999939,15.89000034,46.649189,701.0518188,32.72999954,-2.099999905,34.625,9.199999809,24.99483299,335.3416138
15.87674999,24.57416725,7.866166592,652.210022,106.5500031,2,85.32292938,335.2200012,9,14,318.3200073,15.20874977,45.80034256,683.5722656,31.39999962,-2.299999952,33.65000153,8.762499809,24.81066704,358.7294312
15.15458298,23.91699982,8.070833206,728.3800049,135.8500061,2,85.97553253,387.6000061,13,17,378.6000061,13.94041634,45.57709122,674.7753296,31.10000038,-1.220000029,33.07500076,8.884166718,23.29999924,639.036377
14.89145851,23.8579998,7.053666592,774.1500244,137.8999939,2,85.56493378,374.7000122,12.5,16.35000038,369.7600098,15.80791664,47.00935364,679.3145752,31.41500092,-2.799000025,34.20100021,6.936666489,22.87783241,645.4146729
15.0314579,23.84000015,7.26883316,765.1900024,130.0500031,2.549999952,84.79312134,398.5499878,12.89999962,17.36000061,398.5499878,15.00874996,45.40605927,681.3468018,31.45299911,-1.853999972,33.31499863,7.111000061,23.47916603,511.4607849
14.62729168,23.39500046,7.014999866,773.039978,141.6000061,2.299999952,83.98462677,392.3500061,16.42000008,17.05999947,390.5499878,14.72424984,44.18732071,680.0140991,31.1609993,-1.870000005,32.85499954,6.942500114,22.96999931,524.1567993
14.5427084,23.28333282,6.86833334,806.9000244,143.5,3.25,83.56890869,398.2999878,17.14999962,20.29999924,397.25,14.59375,44.99335861,673.4533691,30.68000031,-1.735000014,32.5,6.86833334,22.78499985,650.0829468
12.00045872,19.92316628,2.275666714,202.1000061,38,8,47.96480179,105.5,27.70000076,34,105.5,17.63958359,45.28746414,779.2984009,32.81999969,-7.170000076,38.31000137,2.207333326,17.01316643,1586.772949
11.49529171,22.65999985,3.033333302,165,24,7,41.86827087,72.5,26,27,72.5,17.95000076,46.06894302,792.4970093,34.15299988,-6.800000191,39.11000061,3.143333435,18.30666733,1439.659668
12.95354176,25.38166618,1.120833278,181.3500061,23.54999924,7,31.54362488,65.55000305,31.54999924,50.15000153,35.59999847,14.35208321,34.45768356,982.9827271,33.40999985,-8.239999771,41.65000153,19.82333374,17.51833344,1554.084717
15.60262489,23.33300018,8.042500496,549.3699951,124.9000015,2,88.96662903,280.8299866,10,17,292.75,13.55583286,44.00133896,627.6311035,30.20000076,-0.129999995,29.94499969,8.247666359,22.42833328,626.0790405
15.81725025,24.17749977,8.40633297,559,107.5,2,87.63489532,271.8699951,8.899999619,18,263.6499939,13.80958366,45.33657837,648.7999268,30.87999916,-0.300000012,31.39999962,8.168999672,23.20083237,675.65448
