,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
0,-1.334599963,0.170393238,-1.383391333,0.666907023,-0.036853396,0.489614884,0.208328982,-0.959886378,0.211066196,0.090608426,0.041980078,0.008353101,-0.017785864,0.08525753,-0.139526253,-0.067528066,0.045075449,0.02870843,-0.045018334,0.021509169
0,-4.034460856,-0.860227317,-1.367460141,-1.179011738,-0.959856681,0.437105282,-0.348401486,0.055056483,0.082947754,-0.129244504,0.046955081,-0.053699813,-0.037505468,-0.08232305,0.041036574,-0.028015552,-0.051031025,-0.082063915,-0.056875093,-0.005080046
0,1.69817828,-0.037214313,2.299578797,-1.166453549,-0.315903111,1.138834032,0.022510023,0.136790024,-0.096392098,0.096067027,0.096478252,-0.030166891,-0.003426628,0.044827425,-0.003793318,0.002571847,-0.064951867,0.038758774,0.041474414,-0.026551573
0,3.319477853,-2.184445413,-1.488640862,-0.594652553,0.226815776,-0.255905989,-0.292244499,0.295241338,0.144373849,-0.109529881,-0.022537219,0.046983224,0.017420468,0.064397034,-0.011857407,0.008113808,0.00150493,0.012346625,-0.016707098,-0.061598465
0,2.899966502,-0.814530541,-1.125172341,-0.164831448,0.284898612,-0.151927854,-0.203362728,0.297914227,0.03473263,-0.028203481,-0.027401354,0.055399213,0.033458361,-0.033427645,0.052465926,0.041404584,-0.001699579,-2.45E-06,-0.0429139,-0.008212757
0,-2.149849593,-0.105118924,-0.279796759,0.78989896,0.945542947,0.072643765,0.57820414,-0.764706583,-0.009940776,-0.106341323,0.016818535,-0.072287172,-0.127781164,0.171178769,-0.111526528,-0.01309583,-0.032896862,0.016128064,0.005929473,-0.042459148
0,-1.151081915,1.271296331,-1.113325775,1.014761719,0.150597175,0.428537553,0.035256983,-0.575168889,-0.017224488,-0.132029634,0.01347762,0.007315446,-0.099409541,0.242786894,-0.249559812,-0.082905538,0.014494676,0.001086703,-0.017617041,-0.041814207
0,2.609122649,-0.251400271,-1.841685816,-1.045435804,-0.2505228,-0.017029393,-0.146391233,0.509052717,0.099880903,0.058321949,0.05944196,-0.063642656,0.007009198,0.067911747,-0.026546319,0.055080359,-0.026405507,-0.036823375,0.047215671,-0.022600925
0,2.747466727,-0.290786618,-2.077790973,-1.723330981,-0.567599978,-0.021229358,-0.21857442,0.524521181,0.020935591,0.065575601,0.013970523,-0.053493338,0.029722641,0.010340185,0.065139874,0.062265928,-0.019849276,-0.016074157,0.037064555,0.018486678
0,1.532610005,-0.954797181,-2.550380526,-0.559396398,-0.439285206,0.341910495,0.108606898,-0.507654983,0.267777495,0.180155953,-0.006821109,0.023757482,0.03379523,-0.125083724,0.049578203,0.054733943,-0.000811234,0.015365626,0.027505359,0.014927951
0,-0.326247235,-1.32077625,-1.839872104,-0.317189596,-0.256494808,0.409629338,0.00259846,-0.35594113,0.087480917,-0.098215046,0.145776312,-0.116854086,-0.138910267,0.40354067,-0.350965343,-0.106876699,-0.061935924,-0.031249023,0.031073935,-0.095776116
0,0.593616235,-0.833862211,-2.363817802,-0.847163546,-1.452403411,0.354966298,-0.066417993,-0.32908214,0.057186247,0.326022432,-0.049617736,0.028749472,0.026168641,-0.113710644,0.062033443,0.048582195,0.006828407,0.035749576,0.019842481,0.048433636
0,-1.291417896,1.208842372,0.710696942,0.196587339,-0.07193375,-0.134989682,-0.782773803,-0.983620148,0.090199525,0.956667548,0.141758383,-0.001808336,0.053899399,0.025670219,-0.007860584,0.284596749,0.071304499,0.055578343,-0.050570341,0.019644032
0,-1.725009381,1.736593008,-1.212240656,1.035322886,0.013332731,0.320896946,-0.018682433,-0.330010451,0.061468196,-0.046014588,0.057978313,-0.068129086,-0.124123966,0.235284674,-0.23542096,-0.084730489,-0.038016564,-0.00773707,-0.045048679,-0.038162561
0,-0.09705755,-0.822019834,-1.304152105,0.842295619,0.218493913,0.329115657,0.085084791,-0.508348714,0.137638952,0.030572604,0.09136919,-0.072087397,-0.098180398,0.305230601,-0.298560085,-0.07479491,-0.002676803,-0.01315564,-0.007656904,-0.084265381
0,0.605406942,-1.482690364,-1.674037152,0.525272103,0.37208704,0.367717033,0.217614387,-0.524272752,0.219209628,-0.050522273,0.157220597,-0.138488303,-0.12515036,0.301197892,-0.29119034,-0.081835457,-0.075057452,-0.048665858,0.012236253,-0.09468927
0,-5.551678597,-0.924567758,-0.06719269,-0.657348195,-0.808635974,0.010461041,-0.270928409,0.487487563,-0.164113006,-0.296498562,-0.173362745,0.2112976,0.139988897,-0.294159632,0.146415234,-0.047732803,0.007627692,0.07157748,-0.058029233,0.006920856
0,-0.854187422,-1.59170204,-1.244622056,-0.405263289,0.829518055,0.23744576,0.621845983,-0.977142506,-0.034938554,-0.272890718,0.11559613,-0.078040379,-0.145287189,0.359718081,-0.280787588,-0.036386017,-0.011325932,-0.055486974,0.017735258,-0.107384651
0,-4.346211507,-1.328408592,-0.755769201,-0.502670161,-1.197425983,0.000736731,0.036792376,0.630325678,0.205805691,0.019923527,-0.031425079,0.026649894,0.061958939,-0.150717506,0.013705397,-0.090094753,-0.015182294,0.016099873,-0.059470131,0.055047989
0,-0.348061658,-0.601698256,-1.522640309,-0.171292719,0.231672232,0.220739763,0.194716341,-0.501352364,0.078837326,-0.157627716,0.077309118,-0.038656659,-0.087616886,0.363347113,-0.329547026,-0.091182063,-0.019993614,0.025472895,-0.017082412,-0.094531182
0,0.42524227,1.774141865,1.617293849,2.52233544,0.585386659,-0.411355423,-0.935057119,-0.099114522,0.491404153,0.478365059,0.060352732,-0.217878254,-0.100121142,0.189723584,-0.044938201,0.097994662,0.015643458,-0.001861098,-0.013852153,0.031031771
0,-0.840423936,0.105013127,-1.351565412,0.105094483,0.157628475,0.152777933,0.199151584,-0.511414579,-0.002184533,-0.235641189,0.017367783,0.014308624,-0.08863028,0.34383021,-0.308706628,-0.110903059,0.00407798,0.043002408,-0.019718308,-0.067888312
0,0.362076477,-1.167050141,-1.484091435,0.895062815,0.347027063,0.358926375,0.14142281,-0.552023994,0.160909382,0.091014676,0.128971567,-0.110384492,-0.101520401,0.272331994,-0.282078593,-0.058717013,-0.039759137,-0.034943427,0.004479176,-0.080501242
0,0.270160667,4.026858626,0.167009873,1.53317067,-0.510373592,-0.446290655,-0.055509392,0.552017945,0.285558535,0.235277029,0.006238661,-0.138974016,-0.050567855,0.049619618,-0.044203783,0.007326132,-0.003538771,-0.016501089,0.04833036,0.026562719
0,1.394215377,2.098417472,-1.735053889,-0.373695669,-0.398192753,0.006935975,-0.42015447,0.497621122,0.521768854,0.067735099,0.091859239,-0.063482801,0.002128919,0.118433435,-0.094142365,0.034480941,-0.008981491,0.020156968,-0.021540676,-0.008470094
0,-2.697665141,0.005480994,-1.285294753,-0.724340791,0.815250373,0.567030215,0.036610039,-0.683048336,-0.133965714,-0.199818238,0.045417412,0.017335053,-0.090409839,0.164588262,-0.137417489,-0.016452901,-0.02438985,-0.006188715,-0.020876519,-0.043990721
0,-2.476522131,2.691941566,-0.282820432,1.907747213,0.540616226,0.366933335,-0.047875485,-0.431036656,0.068223298,-0.175099082,-0.008807709,-0.068992806,-0.167748049,0.252891726,-0.233209785,-0.094275036,-0.01768216,-0.010016197,-0.06440534,-0.020025829
0,-0.298627399,-0.72151106,-1.497076856,-0.301618097,0.191068092,0.278667201,0.247362917,-0.472484575,0.050538107,-0.158220551,0.076791389,-0.032208056,-0.080097227,0.396009815,-0.338232187,-0.095464606,-0.005588259,0.045390036,-0.001802572,-0.084277948
0,3.674353846,-1.748488979,-0.32179665,0.430501196,1.372465421,-0.466955652,0.151828013,0.066549795,-0.040784211,0.074794602,0.045834785,2.92E-05,0.062830027,-0.022313562,-7.72E-05,0.075942823,-0.005035274,-0.061663786,-0.02364156,-0.056587566
0,-2.008812974,-0.011681043,-1.824829083,-1.850493516,-0.166132261,0.652991495,-0.292754142,-0.76736494,0.163529244,0.29832758,0.079528981,0.049479641,-0.01119856,0.099207857,-0.122701973,0.105758037,0.036677756,0.039078654,-0.019321148,-6.86E-05
0,0.781205131,-3.556957153,-0.261866716,-0.528714925,-0.963369611,-0.567487293,0.17577882,-0.559197645,-0.115498476,0.27772359,-0.044489885,0.011962693,0.044865368,0.133886255,-0.054345999,0.113891559,0.029509728,0.090600904,0.039903603,-0.006562674
0,-2.924955994,-0.17348024,-1.297997994,-0.885340104,-0.546238692,0.505394823,-0.334385104,-0.512949035,0.134418573,0.215705066,0.046092418,0.026681342,0.006774833,-0.029628371,-0.056592811,0.090427048,0.012015454,-0.012380709,-0.031306793,2.39E-05
0,-1.003337498,-1.289606657,-0.041962046,-1.101212903,-0.652256633,-0.347311937,-0.349727215,-0.506404006,-0.323950152,0.143341892,0.060234365,-0.047437925,-0.014562574,0.261060284,-0.107513842,0.073297496,0.013760131,0.008556194,0.007848744,0.005978053
0,-1.690363761,-0.382577312,-0.760533467,-0.236193969,0.554024779,0.016066681,0.448937841,-0.304413999,-0.179096688,-0.333084198,0.092626444,-0.148238946,-0.157064548,0.408723613,-0.256982578,-0.084287933,-0.086258209,-0.000528646,0.039961407,-0.109651696
0,-0.690587721,-0.10826432,-1.047825598,1.143689318,0.015525715,0.323558363,0.035264138,-0.476897947,0.191001957,-0.055362595,0.020706077,-0.02960397,-0.068950849,0.281615052,-0.306877476,-0.100316406,0.035478112,0.011125773,-0.048351157,-0.064349635
0,0.537188289,-1.340147586,-1.549864777,0.738752793,0.327765918,0.342434674,0.181054863,-0.543053969,0.186975718,0.041608048,0.141806417,-0.128794492,-0.109968083,0.26610375,-0.273983704,-0.061692805,-0.053425291,-0.054415364,0.009439923,-0.08559093
0,0.150714957,-0.242773014,-0.924656155,-0.993913746,-0.441535918,-0.11518667,-0.555790997,-0.79072337,-0.246508224,0.893877782,0.053399964,0.065791885,0.101986947,-0.072389931,0.046518128,0.23735828,0.052671658,0.055063438,0.040888302,0.019273632
0,-3.065927773,-0.485939508,-1.253773381,0.797098391,-0.029086172,0.550401292,0.034886928,-0.217365926,0.368492219,0.054792517,0.025138171,-0.058191297,-0.01650473,-0.009948925,-0.132814684,-0.095293023,0.007409625,-0.025767013,-0.000416814,-0.043254183
0,1.637961833,0.131754619,1.147409504,2.810453354,1.335038843,-0.412958709,-0.163073802,-0.115425132,0.393883318,0.030462476,-0.126473797,-0.079124965,-0.083984177,0.069342158,-0.021534733,-0.037547691,0.082745841,-0.037149758,-0.00622968,0.06677233
0,0.932586303,-0.833362513,-2.628888149,-1.00022794,-1.54950627,0.219239264,-0.039339071,-0.290963687,0.115009086,0.362170255,-0.105237319,0.052831711,0.065346634,-0.23223052,0.16322487,0.066592105,0.024911096,0.050616556,0.025887512,0.080212736
0,1.265934187,7.036873343,0.622869375,0.135885643,0.336115999,1.263098588,1.355173045,0.714997583,-0.311686464,0.161643645,0.122149228,0.152621258,0.07591307,0.135698454,-0.314211968,-0.071224519,0.116236555,0.026899695,-0.025353719,0.075393246
0,2.767121502,1.313096821,-1.020983891,-1.259041296,-0.408069016,-0.569492373,0.028207873,0.500120736,-0.306423645,0.321956282,-0.099079159,0.105200685,0.152480096,-0.140426644,0.139916617,0.106456621,0.070863068,0.055778961,0.074447799,0.040679769
0,-0.113840624,0.01781418,-1.466497692,0.523367923,0.030974615,0.42538033,0.085343744,-0.654034088,0.119871311,0.006180043,0.021125464,0.044094618,-0.03607827,0.225035184,-0.230067434,-0.037924398,0.068991061,0.03655873,0.010319444,-0.027677738
0,-2.488988393,6.803156753,0.950405621,3.372119111,0.361561948,0.0313779,0.03462373,-0.940982803,-0.037153566,0.424462081,-0.083750042,-0.113987896,-0.137564515,0.048535632,-0.038232817,0.065617216,0.072934717,-0.010427366,-0.033575683,0.105919235
0,0.238337205,2.397644625,1.061828383,4.649295583,1.049346172,-0.168523351,-0.463145781,-0.102223723,0.00665639,-0.024571889,-0.300189807,-0.176721872,-0.210768558,0.158667871,0.055319306,-0.092870466,0.081943821,0.004141717,-0.010450874,0.140822493
0,-2.563274807,0.270409852,-0.622937654,0.959916409,0.580518773,0.360910104,0.155850027,-0.63003596,0.184486696,0.155805771,0.040311865,-0.05775002,-0.078777274,0.03349709,-0.079067494,0.002150576,-0.023775151,0.00265949,0.002709689,-0.013437865
